timestamp_ms,latitude,longitude,altitude_m,yaw_deg,pitch_deg,roll_deg,speed_mps
0,28.535517,77.391029,45.2,42.1,-12.4,1.2,5.4
500,28.535532,77.391048,45.3,42.5,-12.2,0.8,5.6
1000,28.535548,77.391069,45.1,43.0,-12.5,0.5,5.5
1500,28.535565,77.391090,45.5,43.2,-12.1,1.0,5.7
2000,28.535581,77.391111,45.8,43.8,-11.9,1.4,5.8
2500,28.535598,77.391133,46.0,44.1,-12.3,0.9,5.7
3000,28.535615,77.391155,46.2,44.5,-12.6,0.3,5.6
3500,28.535632,77.391178,46.1,44.8,-12.0,0.7,5.8
4000,28.535650,77.391201,45.9,45.2,-12.4,1.1,5.9
4500,28.535667,77.391224,45.7,45.5,-12.8,1.5,5.7
5000,28.535685,77.391248,45.5,45.9,-12.2,1.0,5.8
5500,28.535703,77.391272,45.6,46.1,-12.1,0.6,5.6
6000,28.535721,77.391297,45.8,46.4,-12.5,0.8,5.7
6500,28.535740,77.391321,46.0,46.8,-12.7,1.2,5.9
7000,28.535758,77.391346,46.1,47.0,-12.3,1.3,5.8
7500,28.535777,77.391372,46.3,47.3,-12.0,0.9,5.7
8000,28.535796,77.391398,46.5,47.7,-12.4,0.5,5.8
8500,28.535815,77.391424,46.4,48.0,-12.6,0.8,5.9
9000,28.535835,77.391451,46.2,48.2,-12.2,1.1,5.7
9500,28.535854,77.391478,46.0,48.5,-12.1,1.4,5.8
10000,28.535874,77.391505,45.8,48.9,-12.5,1.0,5.6
